Jack,11/12/2018,This update is S.I.C',,
Jack,15/12/2018,added toilets',,
Lewis,17/12/2018,Database player registration and renaming',,
Lewis,19/12/2018,Started leaderboard table',,
Lewis,19/12/2018,Finished fetching data from db',,
Lewis,19/12/2018,Some small things',,
Lewis,19/12/2018,Adding and editing high scores on remote db',,
Lewis,20/12/2018,Local leaderboards',,
Lewis,20/12/2018,Spinning thing when fetching remote db',,
Lewis,23/12/2018,Finished databases',,
Lewis,27/12/2018,Very basic main menu',,
Lewis,28/12/2018,Added admin menu (nothing in it yet) and up/down floor buttons', converted ui manager to singleton',
Lewis,28/12/2018,Added more icons to UI',,
Jack,29/12/2018,added start of multi-sized facilities', list of lifts',
Edward,29/12/2018,Pathfind implemented plus general optimisations',,
Lewis,29/12/2018,Updates to main menu',,
Edward,29/12/2018,Pathfinding working',,
Lewis,29/12/2018,Main menu updates',,
Lewis,29/12/2018,Started game end state',,
Lewis,30/12/2018,Finished game end states',,
Edward,30/12/2018,Pathfinding is now working',,
Jack,30/12/2018,multi-sized facilities are done',,
Edward,30/12/2018,Playerstats and the facility list are now being saved',,
Jack,30/12/2018,Employee list in facility',,
Edward,30/12/2018,Added local database saves to saving and loading',,
Edward,30/12/2018,Added ability for emps to quit or get fired (untested) and global employee happiness',,
Jack,30/12/2018,facilities spawn their sizes only always in 1 directions which leads to incorrect sizes on the extremes',,
Lewis,30/12/2018,Added income percentage slider',,
Lewis,30/12/2018,Updated employee and business menus. Fire employees',,
Lewis,31/12/2018,Sabotaging facilities',,
Lewis,31/12/2018,Weather juice',,
Edward,31/12/2018,Employees now get added to all facilities',,
Lewis,31/12/2018,Added more to admin menu',,
Lewis,31/12/2018,Small push',,
Lewis,31/12/2018,Started on applying UI assets',,
Edward,31/12/2018,Sorted out firing of employees and sorted out assigning desks',,
Lewis,31/12/2018,Main UI assets added',,
Edward,31/12/2018,Firing employees and employees quitting now work',,
Lewis,31/12/2018,Finished up applying UI assets',,
Edward,31/12/2018,Fixed employees being unable to leave from left side of entrance', minor bugfix',
Lewis,01/01/2019,Employees now earn you money',,
Lewis,01/01/2019,Added hire button',,
Jack,01/01/2019, fixed the facilities spawning inside walls on the initial spawn,,
Lewis,01/01/2019,Added help menu',,
Lewis,01/01/2019,Main menu polish',,
Lewis,01/01/2019,Moved database to remote server',,
Jack,01/01/2019,Cafeteria model and correct positioning at start of game',,
Jack,01/01/2019,prefab update',,
Lewis,01/01/2019,Special facilities now only spawned one per floor',,
Lewis,02/01/2019,Improved performance of tabs',,
Lewis,02/01/2019,Update to test scene idk what',,
Jack,02/01/2019,coillision things',,
Jack,02/01/2019,Build settings',,
Jack,02/01/2019,employee shader and player controller touch controls',,
Edward,02/01/2019,Actions are an IE and so is pathfinding. nuked on gui stuff too for performance',,
Lewis,02/01/2019,Database updates',,
Lewis,02/01/2019,Better facility colliders and tapping',,
Edward,02/01/2019,Fixed floating employee. no crashing and employees now use lift properly',,
Lewis,02/01/2019,Added name of employees to facility menu',,
Lewis,02/01/2019,Small bugfixes',,
Lewis,02/01/2019,Re-assigning facilities caused a bug so i commented it out',,
Lewis,03/01/2019,Updated fonts',,
Jack,03/01/2019,added points for employees to move to and slight optimizations', UI updates',
Lewis,03/01/2019,Added some more messages',,
Jack,03/01/2019,Reassigning facilities works',,
Lewis,03/01/2019,Leaderboard and profile data saving',,
Lewis,03/01/2019,Scores now uploaded when saved to file',,
Jack,03/01/2019,fixed fatal error on facility cutting',,
Lewis,03/01/2019,Fixed cafeteria collision bug',,
Lewis,03/01/2019,Added sounds and music',,
Lewis,03/01/2019,Update to database displays', start of message system',
Lewis,04/01/2019,Can no longer hire new employees if you dont have enough workspaces',,
Lewis,04/01/2019,Bugfix,,
Jack,04/01/2019,new models',,
Jack,04/01/2019,new break area',,
Edward,04/01/2019,Cleaned up variables and employee actions',,
Edward,04/01/2019,Added delays on actions and typing sounds',,
Edward,04/01/2019,Backup',,
Lewis,04/01/2019,Global happiness change',,
Lewis,04/01/2019,Updates to employee sounds', just needs adjusting slightly',
Lewis,04/01/2019,Fixed bug where employees break when they dont have a place to go to,,
Edward,04/01/2019,Fixed a bug with deleting a desk',,
Jack,04/01/2019,pathfinding grid smaller and colliders bigger, office and world',
Lewis,04/01/2019,Changes to payment',,
Jack,04/01/2019,Employees cost money',,
Lewis,04/01/2019,UI and happiness updates',,
Jack,04/01/2019,Employee pool and starting funds + removed a print',,
Lewis,04/01/2019,Weather bugfix',,
Jack,04/01/2019,4 Toilets and better facility prices',,
Lewis,05/01/2019,Buying floors',,
Jack,05/01/2019,employee movement fix and commented out pathfinding gizmo again',,
Edward,05/01/2019,Fixed singleton issue',,
Edward,05/01/2019,Changed back on trigger enter',,
Lewis,05/01/2019,Buxfizzes',,
Edward,05/01/2019,Flickering issue fixed with lift',,
Jack,05/01/2019,I think I fixed a bug',,
Edward,05/01/2019,Fixed null reference exception when leaving',,
Lewis,05/01/2019,Fixed file saving on android',,
Lewis,05/01/2019,UI Updates',,
Jack,05/01/2019,Potentially fixed the errors on facility delete',,
Lewis,05/01/2019,Update to database saving',,
Edward,05/01/2019,"Collision timer, employees quitting en masse",,
Edward,05/01/2019,Employees go off site when a facility isn't available,,
